z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.455	0.3992	0.5058	4.6099	4.1915	4.9907	0.8258		0.455	-4.6099	0.687285223	0.3996		0.68	0.69	-4.623732039	-4.470751186	-4.51228207	0.059677171
0.815	0.6783	0.8884	6.6576	6.0847	7.152	1.6176		0.815	-6.6576	0.550964187	0.53365		0.55	0.56	-6.628685184	-6.474411548	-6.613810315	0.006733341
0.949	0.7774	0.944	7.0284	6.6195	7.3947	1.815		0.949	-7.0284	0.513083633	0.3876		0.51	0.52	-7.243265342	-7.09009996	-7.196034765	0.187051263
1.056	0.8899	1.07	7.5507	7.1587	7.8951	2.1324		1.056	-7.5507	0.486381323	0.3682		0.48	0.49	-7.700090046	-7.548315964	-7.603238103	0.020360161
0.278	0.2236	0.3227	3.1109	2.6157	3.548	0.458		0.278	-3.1109	0.782472613	0.46615		0.78	0.79	-3.112784697	-2.964422451	-3.076100448	0.005573088
0.01	0.0075	0.012	0.1416	0.1014	0.1617	0.0148		0.01	-0.1416	0.99009901	0.03015		0.99	1	-0.134070295	0	-0.132742866	0.086300197
0.013	0.009	0.012	0.1416	0.1215	0.1617	0.016		0.013	-0.1416	0.987166831	0.0201		0.98	0.99	-0.26887728	-0.134070295	-0.172263389	2.327277658
0.014	0.012	0.0165	0.2017	0.1617	0.2217	0.0221		0.014	-0.2017	0.986193294	0.03		0.98	0.99	-0.26887728	-0.134070295	-0.185387352	0.295669416
0.015	0.0135	0.018	0.2217	0.1817	0.2416	0.0237		0.015	-0.2217	0.985221675	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.198485455	0.600795524
0.025	0.021	0.027	0.3207	0.2812	0.3601	0.0346		0.025	-0.3207	0.975609756	0.03945		0.97	0.98	-0.404419252	-0.26887728	-0.328383512	0.037933725
0.026	0.0225	0.0285	0.3404	0.301	0.3797	0.0374		0.026	-0.3404	0.974658869	0.03935		0.97	0.98	-0.404419252	-0.26887728	-0.341272017	0.00049109
0.031	0.0255	0.0315	0.3797	0.3404	0.4188	0.0424		0.031	-0.3797	0.969932105	0.0392		0.96	0.97	-0.540694018	-0.404419252	-0.405344493	0.427972723
0.038	0.039	0.0465	0.5543	0.5158	0.6118	0.0621		0.038	-0.5543	0.963391137	0.048		0.96	0.97	-0.540694018	-0.404419252	-0.494481381	1.553067375
1.199	0.7954	1.049	7.3111	6.7104	7.8163	1.981		1.199	-7.3111	0.45475216	0.55295		0.45	0.46	-8.151717056	-8.001849437	-8.080497564	1.936109381
0.47	0.4937	0.5883	5.238	4.9058	5.542	1.0254		0.47	-5.238	0.680272109	0.3181		0.68	0.69	-4.623732039	-4.470751186	-4.619569295	3.779677539
0.5	0.4832	0.5898	5.2077	4.8305	5.5515	1.016		0.5	-5.2077	0.666666667	0.3605		0.66	0.67	-4.930620301	-4.777032194	-4.828228229	1.108022066
0.54	0.3287	0.4667	4.1915	3.6007	4.7102	0.7094		0.54	-4.1915	0.649350649	0.55475		0.64	0.65	-5.238527846	-5.084463588	-5.094467761	2.649414249
0.47	0.4847	0.5853	5.1976	4.8413	5.5229	1.0113		0.47	-5.1976	0.680272109	0.3408		0.68	0.69	-4.623732039	-4.470751186	-4.619569295	2.876753467
0.49	0.4232	0.5208	4.7542	4.3809	5.0951	0.8687		0.49	-4.7542	0.67114094	0.3571		0.67	0.68	-4.777032194	-4.623732039	-4.759541572	0.000223748
0.543	0.4817	0.5643	5.1157	4.8196	5.3872	0.9837		0.543	-5.1157	0.64808814	0.2838		0.64	0.65	-5.238527846	-5.084463588	-5.113918518	3.94038E-05
0.016	0.0135	0.0165	0.2017	0.1817	0.2217	0.0219		0.016	-0.2017	0.984251969	0.02		0.98	0.99	-0.26887728	-0.134070295	-0.211557775	0.242939298
0.019	0.0135	0.018	0.2217	0.1817	0.2416	0.0238		0.019	-0.2217	0.981354269	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.250620789	0.932452322
0.021	0.018	0.0225	0.2614	0.2416	0.301	0.0294		0.021	-0.2614	0.979431929	0.0297		0.97	0.98	-0.404419252	-0.26887728	-0.27657702	0.26113201
0.023	0.018	0.024	0.2812	0.2416	0.3207	0.0307		0.023	-0.2812	0.977517107	0.03955		0.97	0.98	-0.404419252	-0.26887728	-0.302530908	0.290887922
0.026	0.021	0.0255	0.301	0.2812	0.3404	0.0338		0.026	-0.301	0.974658869	0.0296		0.97	0.98	-0.404419252	-0.26887728	-0.341272017	1.851072165
